,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp,RATING
3967,18001468,ASSAULT/BATTERY MISD.,ASSAULT,2200 FIFTH ST,Berkeley,CA,Friday,37.864795,-122.297863,2018-01-05 14:00:00,4
3969,18006862,ROBBERY,ROBBERY,900 INDIAN ROCK AVE,Berkeley,CA,Saturday,37.893448,-122.272137,2018-02-03 02:40:00,3
3971,17071154,DISTURBANCE,DISORDERLY CONDUCT,2400 CHANNING WAY,Berkeley,CA,Monday,37.866622,-122.26108,2017-11-20 02:01:00,3
3976,17063489,ASSAULT/BATTERY MISD.,ASSAULT,1500 DWIGHT WAY,Berkeley,CA,Thursday,37.862202,-122.281026,2017-10-19 17:21:00,4
3977,17092537,THEFT FELONY (OVER $950),LARCENY,3100 SHATTUCK AVE,Berkeley,CA,Saturday,37.852956,-122.266195,2017-12-02 20:00:00,3
3988,17049725,ASSAULT/BATTERY FEL.,ASSAULT,1600 PRINCE ST,Berkeley,CA,Tuesday,37.85177,-122.276489,2017-08-22 22:30:00,5
3989,17053731,DISTURBANCE,DISORDERLY CONDUCT,1600 DWIGHT WAY,Berkeley,CA,Thursday,37.862516,-122.27853,2017-09-07 21:02:00,3
3990,17048354,THEFT FELONY (OVER $950),LARCENY,1900 GRANT ST,Berkeley,CA,Thursday,37.873017,-122.275481,2017-08-17 11:30:00,3
3991,17070026,ROBBERY,ROBBERY,2800 COLLEGE AVE,Berkeley,CA,Friday,37.859988,-122.253339,2017-11-17 11:53:00,3
3992,18002746,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 DELAWARE ST,Berkeley,CA,Friday,37.871271,-122.295015,2017-12-15 18:00:00,4
3994,17074269,THEFT FELONY (OVER $950),LARCENY,1200 FIFTH ST,Berkeley,CA,Thursday,37.880786,-122.303067,2017-12-07 10:42:00,3
3996,18003667,GUN/WEAPON,WEAPONS OFFENSE,ACTON STREET & WARD ST,Berkeley,CA,Thursday,37.857501,-122.282522,2018-01-18 20:54:00,5
